filename,year,creativity_score
Realism/adolf-hitler_the-courtyard-of-the-old-residency-in-munich-1913.jpg,1913.0,1.8259648916369853e-05
Pop_Art/burhan-dogancay_new-york-face-2000.jpg,2000.0,1.523477492571093e-05
Impressionism/henri-catargi_composition-with-lemons-and-poppy-1966.jpg,1966.0,1.5425036923240404e-05
Romanticism/alphonse-mucha_portrait-of-jiri-1925.jpg,1925.0,1.9005828553200914e-05
Expressionism/chronis-botsoglou_study-1965.jpg,1965.0,1.7181532313914905e-05
Art_Nouveau_Modern/alphonse-mucha_the-lady-of-the-camellias-1896.jpg,1896.0,2.731947655431977e-05
Realism/pyotr-konchalovsky_study-1952.jpg,1952.0,7.511489841332821e-05
Impressionism/alfred-sisley_haystack-1877.jpg,1877.0,0.0001068927427408747
Fauvism/pyotr-konchalovsky_portrait-of-m-p-konchalovsky-in-naval-uniform-1910.jpg,1910.0,1.647251276635848e-05
Impressionism/t.-c.-steele_a-bleak-day-1888.jpg,1888.0,4.480732691044322e-05
Expressionism/martiros-saryan_by-the-sea-1904.jpg,1904.0,2.1978131894826595e-05
Realism/mikhail-vrubel_self-portrait-1880.jpg,1880.0,3.6976419649822236e-05
Realism/camille-corot_recollections-of-coubron-1872.jpg,1872.0,7.56636575469702e-05
Impressionism/frederic-bazille_self-portrait-at-saint-saveur-1868.jpg,1868.0,4.923191842538477e-05
Expressionism/zinaida-serebriakova_alps-annecy-1933.jpg,1933.0,1.950992660968694e-05
Realism/ilya-repin_portrait-of-aleksandr-zhirkevich-1891.jpg,1891.0,2.0535149455349144e-05
Fauvism/david-burliuk_landscape-1912.jpg,1912.0,1.6362276312619253e-05
Realism/edouard-manet_the-artist-portrait-of-gilbert-marcellin-desboutin-1875.jpg,1875.0,3.7367501020820904e-05
Abstract_Expressionism/joan-mitchell_blue-territory-1972.jpg,1972.0,1.529203732209011e-05
Art_Nouveau_Modern/anna-ostroumova-lebedeva_fontanka-near-the-summer-garden-1922.jpg,1922.0,1.6021817548212594e-05
Post_Impressionism/maurice-prendergast_in-the-luxembourg-gardens-1907.jpg,1907.0,1.8627956913714106e-05
Impressionism/robert-julian-onderdonk_a-winter-morning-on-the-guadalupe-river-1911.jpg,1911.0,1.759792830812926e-05
Color_Field_Painting/ad-reinhardt_untitled-1954.jpg,1954.0,5.069575216565287e-05
Impressionism/armand-guillaumin_vue-de-port-1880.jpg,1880.0,2.447451031793415e-05
Post_Impressionism/pyotr-konchalovsky_portrait-of-a-girl-sima-1940.jpg,1940.0,1.8329488161294953e-05
Art_Nouveau_Modern/raphael-kirchner_girls-with-olive-green-surrounds-1901-6.jpg,1901.0,7.571689243567965e-05
Pointillism/theo-van-rysselberghe_a-reading-in-the-garden-1902.jpg,1902.0,1.7210477320816844e-05
Post_Impressionism/maurice-prendergast_spring-flowers-1904.jpg,1904.0,3.2662788022509855e-05
Symbolism/zinaida-serebriakova_self-portrait-1910.jpg,1910.0,1.648920676853998e-05
Symbolism/nicholas-roerich_snow-maiden-1947.jpg,1947.0,1.611625303852659e-05
Expressionism/amedeo-modigliani_red-headed-girl-in-evening-dress-1918.jpg,1918.0,1.588958631831244e-05
Minimalism/genevieve-asse_ouverture-de-la-nuit-1973.jpg,1973.0,2.0491747453802063e-05
Art_Nouveau_Modern/zinaida-serebriakova_portrait-of-a-nurse-1909.jpg,1909.0,2.0266440875650578e-05
Post_Impressionism/theo-van-rysselberghe_etude-of-female-nude-1914.jpg,1914.0,1.681420324138943e-05
Naive_Art_Primitivism/el-lissitzky_illustration-to-chad-gadya-1919.jpg,1919.0,1.6127338142025017e-05
Romanticism/thomas-cole_daniel-boone-sitting-at-the-door-of-his-cabin-on-the-great-osage-lake-1826.jpg,1826.0,0.00017748106639897223
Post_Impressionism/pierre-bonnard_self-portrait-1945.jpg,1945.0,1.5403775548936027e-05
Impressionism/edgar-degas_portrait-of-a-lady-in-grey-1865.jpg,1865.0,4.8602014059698006e-05
Action_painting/jackson-pollock_autumn-rhythm-number-30-1950.jpg,1950.0,4.04205119262362e-05
Art_Nouveau_Modern/nicholas-roerich_walls-of-kremlin-in-novgorod-1903.jpg,1903.0,1.8457115010522786e-05
Impressionism/georges-seurat_landscape-with-figure-study-for-la-grande-jatte-1885.jpg,1885.0,8.125575794089721e-05
Realism/john-singer-sargent_alice-vanderbilt-shepard-1888.jpg,1888.0,3.064829508367074e-05
Post_Impressionism/karl-schrag_evening-sun-low-tide-1976.jpg,1976.0,1.5296379924924814e-05
Realism/boris-kustodiev_portrait-of-l-s-bakst-1910.jpg,1910.0,1.7599624825461734e-05
Expressionism/pablo-picasso_the-bread-carrier-1905.jpg,1905.0,1.634800412688752e-05
Post_Impressionism/vincent-van-gogh_study-of-a-fruit-tree-1890.jpg,1890.0,3.679377256579641e-05
Impressionism/walter-sickert_the-juvenile-lead-self-portrait-1907.jpg,1907.0,1.8198656845217056e-05
Cubism/lyonel-feininger_volcano-vulkan-1919.jpg,1919.0,1.841340040204292e-05
Realism/ilya-repin_portrait-of-vera-shevtsova-1869.jpg,1869.0,6.0647780532064557e-05
Art_Nouveau_Modern/boris-kustodiev_sailor-and-his-girl-1921.jpg,1921.0,1.56344127631803e-05
Impressionism/pierre-auguste-renoir_self-portrait-with-a-white-hat-1910.jpg,1910.0,2.3981573117535105e-05
Fauvism/kees-van-dongen_spring-1908.jpg,1908.0,2.0989287860953348e-05
Expressionism/richard-diebenkorn_interior-with-view-of-buildings-1962.jpg,1962.0,1.6603089892866466e-05
Impressionism/pierre-auguste-renoir_dance-in-the-country-1883.jpg,1883.0,4.5697558462229795e-05
Realism/viktor-vasnetsov_yarilin-valley-1885.jpg,1885.0,1.7447640763065973e-05
Post_Impressionism/pablo-picasso_lovers-of-the-street-1900.jpg,1900.0,1.903033194621771e-05
Realism/pyotr-konchalovsky_portrait-of-writer-samuil-marshak-1951.jpg,1951.0,1.5783501493790018e-05
Naive_Art_Primitivism/marc-chagall_cain-and-abel-1960.jpg,1960.0,1.6032732266359818e-05
Impressionism/samuel-mutzner_peisaj-din-corsica-ajaccio-1929.jpg,1929.0,1.846650639880727e-05
Romanticism/david-wilkie_queen-victoria-detail-1840.jpg,1840.0,0.00013311667491057392
Fauvism/rufino-tamayo_retrato-de-olga-1964.jpg,1964.0,1.5403663172603185e-05
Naive_Art_Primitivism/marc-chagall_a-jonah-s-boat-1977.jpg,1977.0,1.52761948345692e-05
Symbolism/nicholas-roerich_border-of-tibet-tsaidam-1936.jpg,1936.0,1.7157874513724845e-05
Realism/vincent-van-gogh_peasant-woman-at-the-washtub-1885.jpg,1885.0,3.807493447087817e-05
Realism/isaac-levitan_twilight-moon-1899-1.jpg,1899.0,1.757636776781018e-05
Post_Impressionism/paul-gauguin_tahitian-woman-1894.jpg,1894.0,1.6998013098324097e-05
Symbolism/ferdinand-hodler_lake-thun-from-the-path-to-the-plate-schynigen-1906.jpg,1906.0,0.0010850090698506746
Post_Impressionism/vincent-van-gogh_a-woman-walking-in-garden-1887(1).jpg,1887.0,1.689883707843915e-05
Realism/ilya-repin_portrait-of-the-surgeon-nikolay-pirogov-1881-1.jpg,1881.0,9.375758916180892e-05
Romanticism/orest-kiprensky_portrait-of-m-lansky-1813.jpg,1813.0,8.415780412186758e-05
Naive_Art_Primitivism/pavel-filonov_easter-1913.jpg,1913.0,1.7093120703134642e-05
Realism/boris-kustodiev_e-zamyatin-the-district-1923.jpg,1923.0,2.2144435000694784e-05
Expressionism/henri-matisse_two-women-1939.jpg,1939.0,1.5770132641477103e-05
Impressionism/lovis-corinth_the-walchensee-in-the-moonlight-1920.jpg,1920.0,1.9831950925754047e-05
